3520.63824	-5.1
3520.64884	-4.6
3520.65591	-4.8
3520.66755	-5.2
3520.67473	-5.6
3540.60004	0.3
3540.61058	-0.2
3540.61964	-0.4
3540.62869	-0.8
3540.6428	-0.5
3540.65201	-0.4
3540.66107	-0.2
3540.67014	-0.1
3558.43042	-4.9
3558.43655	-4.3
3558.44258	-4.4
3581.37398	2.9
3581.38203	3
3581.38975	2
3581.39693	2.3
3581.40389	3
3581.41081	2.3
3581.42209	1.7
3581.42866	1.1
3581.43494	1.4
3581.44119	2.5
3581.44729	1.8
3581.45303	2.6
3581.45852	1.7
3581.4663	2
3581.47869	1.8
3581.48685	2.2
3581.49704	3.1
3581.50606	2.5
3581.51366	1.7
3581.52718	0.9
3581.53655	0.9
3581.54484	1
3581.55108	1.6
3581.56218	-0.5
3581.57081	-1.3
3581.57953	-1.4
3591.59986	-3.3
3591.60582	-3.7
3591.61063	-4.3
3591.61546	-4.1
3591.62515	-4.3
3591.63027	-4.7
3591.63477	-4.4
3591.63942	-4.9
3591.6441	-4.5
3597.39797	-1.4
3597.40662	-1.6
3597.41284	-1.6
3597.42142	-1.9
3597.44103	-1.2
3597.45307	-1.5
3597.46051	-2
3597.47073	-1.9
3597.48339	-2.2
3597.49237	-2.8
3597.49965	-2.7
3597.51199	-4
3597.51933	-4.2
3597.52525	-4.5
3597.53741	-5.3
3597.5463	-5
3597.55366	-5.4
3597.55901	-4.2
3605.34049	-3.4
3605.37677	-2.1
3605.38022	-1.9
3605.38337	-1.9
3605.38652	-2.7
3605.38973	-2.9
3605.39277	-2.2
3605.39576	-3.3
3605.40362	-3.4
3605.40656	-3.5
3605.40925	-3
3605.34403	-3.3
3605.41186	-2.9
3605.41431	-2.6
3605.41675	-2.9
3605.41917	-3.9
3605.42176	-3.9
3605.42442	-3.7
3605.42709	-3.8
3605.43431	-3.4
3605.43701	-3.2
3605.4397	-3.1
3605.34753	-3.1
3605.44241	-3.6
3605.3511	-3
3605.35458	-3.7
3605.35817	-2
3605.36167	-2.1
3605.36997	-2
3605.37341	-1.9
3637.37246	-3.2
3637.37567	-3.6
3637.38397	-2.7
3637.38686	-2.5
3637.3902	-2.5
3637.39346	-2.7
3637.40183	-2.9
3637.40502	-2.5
3637.40799	-2.6
3637.4112	-2.4
3637.41419	-2.6
3637.41712	-1.6
3637.4201	-1.8
3637.42312	-2.1
3637.43077	-1.6
3637.43369	-1.8
3637.43651	-1.8
3637.43927	-2.2
3637.44223	-2
3637.44502	-2.1
3637.44782	-2.2
3637.45081	-2.3
3637.45859	-1.4
3637.46322	-1.2
3637.46624	-2
3637.47027	-1.2
3637.47355	-1.5
3637.47708	-1.9
3637.48022	-1.2
3637.48325	-1.6
3637.48696	-1.9
3637.49029	-2
3637.4938	-2.3
3637.49694	-1.6
3637.52109	-1.9
3637.52451	-2.4
3637.52763	-1.4
3637.53064	-1.8
3637.53365	-2.1
3637.53675	-2.6
3637.53976	-2.4
3637.54265	-1.8
3637.54518	-3.1
3637.54751	-3.4
3637.55009	-3.5
3637.55282	-3.2
3637.55605	-2.6
3637.55912	-2.5
3637.56207	-2.2
3637.56504	-2.8
3638.31076	-3.6
3638.31336	-4.3
3638.31618	-4.9
3638.31869	-4.9
3638.32117	-4.9
3638.32368	-4.4
3638.32617	-4.7
3638.32861	-4.4
3638.33118	-4.9
3638.34052	-4.6
3638.34291	-4.7
3638.34523	-5.2
3638.34822	-4.5
3638.35054	-4.5
3638.35287	-4.5
3638.3553	-4.6
3638.35768	-3.5
3638.36	-4.8
3638.36256	-4.6
3638.36505	-4
3640.35756	-6.1
3640.35991	-6
3640.36198	-6.7
3640.36406	-6.1
3640.36705	-6.5
3640.37554	-6.3
3640.37795	-6.1
3640.38015	-6.1
3640.38231	-6.3
3640.38446	-6
3640.38659	-6
3640.3888	-5.9
3640.39101	-5.4
3640.39325	-6.6
3640.39544	-6.3
3640.3977	-5.2
3640.39998	-5.4
3640.40215	-5.2
3640.40447	-5.7
3640.41156	-9.1
3640.41156	-9.1
3640.4138	-8.1
3640.41566	-7.4
3640.41752	-8.4
3640.41951	-7.2
3640.42149	-8.1
