"t.modelo" "mod53"
"1" 1793.00069718185 0.904490515837865
"2" 1793.00208609949 0.904862933353297
"3" 1793.00347501667 0.901565485834722
"4" 1793.00486393431 0.899589648436829
"5" 1793.00625285148 0.892896524747124
"6" 1793.00764176912 0.892020743636841
"7" 1793.00903068629 0.890729528627709
"8" 1793.01041960393 0.88651990998789
"9" 1793.01180852111 0.894031981931707
"10" 1793.01319743828 0.904026088960953
"11" 1793.01458635592 0.90983888630216
"12" 1793.0159752731 0.916077597202203
"13" 1793.01736419074 0.914445776292368
"14" 1793.01875310791 0.910803120891981
"15" 1793.02014202508 0.9126327220768
"16" 1793.02153094272 0.916895483491955
"17" 1793.02430877707 0.922417730036215
"18" 1793.02569769471 0.926484012588762
"19" 1793.02708661188 0.921161468705004
"20" 1793.02847552906 0.924724882890963
"21" 1793.0298644467 0.931318769406745
"22" 1793.03125336387 0.928129335335022
"23" 1793.03264228105 0.920563939266995
"24" 1793.03542011586 0.915413775939975
"25" 1793.03680903303 0.913548068742918
"26" 1793.03819795021 0.914219972957385
"27" 1793.03958686738 0.912617000352244
"28" 1793.04097578502 0.908882668101387
"29" 1793.04236470219 0.903307615385637
"30" 1793.04375361937 0.9059007675653
"31" 1793.04514253654 0.912121351620626
"32" 1793.04653145372 0.923870062831351
"33" 1793.04792037089 0.934067254010179
"34" 1793.04930928853 0.933249814871492
"35" 1793.0506982057 0.936916242264243
"36" 1793.05208712288 0.936784537646989
"37" 1793.05347604005 0.94357850866868
"38" 1793.05486495723 0.941864800085322
"39" 1793.0562538744 0.942635283476542
"40" 1793.05764279158 0.941413657754724
"41" 1793.05903170875 0.945194424561542
"42" 1793.06042062592 0.940634083114267
"43" 1793.0618095431 0.936364880578172
"44" 1793.06319846027 0.938105170882014
"45" 1793.06458737745 0.936499691213171
"46" 1793.06597629509 0.938399576100825
"47" 1793.06736521226 0.939236386986742
"48" 1793.06875412943 0.944752249181073
"49" 1793.07014304661 0.943668721240956
"50" 1793.07153196378 0.939829683705569
"51" 1793.07292088096 0.941857658723392
"52" 1793.07430979766 0.947600802785387
"53" 1793.07569871484 0.955307056354392
"54" 1793.07708763201 0.958388861521794
"55" 1793.07847654918 0.954416770652198
"56" 1793.07986546636 0.949892780489264
"57" 1793.08125438353 0.957818050656659
"58" 1793.08264330071 0.954628009383462
"59" 1793.08542113505 0.962974010018924
"60" 1793.08681005223 0.967527153459843
"61" 1793.0881989694 0.968223163461656
"62" 1793.08958788611 0.962279338194141
"63" 1793.09097680329 0.969827087829476
"64" 1793.09236572046 0.975129504031586
"65" 1793.09375463763 0.973651426325922
"66" 1793.09514355481 0.979204152435997
"67" 1793.09653247198 0.978030016278184
"68" 1793.09792138869 0.963473826320339
"69" 1793.09931030586 0.960629316018654
"70" 1793.10069922304 0.958261498893578
